bias_len,bias_mult,entry_type,entry_len,entry_mult,n,hit,pnl,total
55,3,ema,55,3,7344,66.70751633986927,0.1467818564161089,1077.965953519904
55,3,ema,55,4,5958,67.15340718361867,0.17130991247868588,1020.6644585480104
55,3,vidya,14,2,1484,67.18328840970351,0.6505873873919085,965.4716828895921
55,3,vidya,14,3,1581,65.14864010120178,0.6085463397110231,962.1117630831275
55,3,vidya,14,4,3662,66.93063899508466,0.2171449196493856,795.18469575605
55,3,vidya,21,2,3031,66.05080831408776,0.2532294284266889,767.538397561294
55,3,vidya,21,3,4683,67.6916506512919,0.15258842550049778,714.5715966188311
55,3,vidya,21,4,4449,67.7006068779501,0.17366326192543108,772.6278523062429
55,3,vidya,34,2,4156,66.86717998075072,0.22998694603621883,955.8257477265255
55,3,vidya,34,3,3400,67.8529411764706,0.2723981536780241,926.1537225052821
55,3,vidya,34,4,2922,67.14579055441479,0.22808762154934342,666.4720301671815
55,3,vidya,55,2,2551,66.40533124264995,0.2815311157923365,718.1858763862504
55,3,vidya,55,3,2132,66.04127579737336,0.32612561183024874,695.2998044220903
55,3,vidya,55,4,1835,65.23160762942778,0.18000562813369445,330.3103276253293
89,2,ema,14,2,6657,64.83400931350458,0.1521592854650987,1012.924363341162
89,2,ema,14,3,3591,65.85909217488165,0.33163424923410356,1190.898588999666
89,2,ema,14,4,1995,67.66917293233082,0.466923917436138,931.5132152850953
89,2,ema,21,2,4718,65.89656634167021,0.24937830972800454,1176.5668652967254
89,2,ema,21,3,2540,66.85039370078741,0.38739734737116355,983.9892623227554
89,2,ema,21,4,1319,66.868840030326,0.2635886347728547,347.6734092653954
89,2,ema,34,2,2876,66.62030598052851,0.40447784484168325,1163.278281764681
89,2,ema,34,3,1320,67.65151515151516,0.4410195508341239,582.1458071010436
89,2,ema,34,4,1228,66.36807817589576,0.35950986354944225,441.4781124387151
89,2,ema,55,2,1285,67.00389105058365,0.5455551042030178,701.0383089008778
