t,S,pnl_pct,hold,flips,bias_len,bias_left,atr_pct,win
1738072800000,-1,26.24546500309708,1126,7,1993,1126,0.6886141790195596,True
1738392300000,-1,25.64011062539031,771,5,1993,771,0.5798114017079833,True
1738652400000,-1,-1.9946157611355764,482,3,1993,482,1.3700653223490604,False
1738965600000,-1,-11.969371305749599,134,1,1993,134,1.0159548606840458,False
1739252700000,1,-8.860315604909418,78,1,263,78,0.7897788008167862,False
1739446200000,-1,-6.644811499180436,398,3,535,398,0.6323051743825993,False
1739628900000,-1,-6.403321172474508,195,1,535,195,0.6056960041768391,False
1740933000000,1,-12.44974537657464,108,1,262,108,1.5234154294393585,False
1741272300000,-1,12.880114631428107,791,7,1060,791,0.8443333666169952,True
1741632300000,-1,-12.292222450236,391,5,1060,391,1.8431259886329456,False
1741761900000,-1,-8.185053380782925,247,3,1060,247,0.8073128737296882,False
1741885200000,-1,-6.417736289381559,110,1,1060,110,0.8691654274779991,False
1742205600000,1,-5.899807994414374,386,3,632,386,0.7340105249288977,False
1742371200000,1,-5.7022914115794965,202,1,632,202,0.6521754269975989,False
1743042600000,1,-11.417088419172373,108,1,552,108,1.5899050781567419,False
1743552000000,-1,19.155470249520157,941,5,1399,941,0.6846312843711304,True
1744136100000,-1,-9.289050337311888,292,3,1399,292,1.16483843732857,False
1744264800000,-1,-4.128553770086518,149,1,1399,149,0.6007345242288573,False
1745325900000,1,7.488479262672798,783,5,1193,783,2.2379402658148164,True
1745517600000,1,-5.805148914689562,570,3,1193,570,1.0277438997799209,False
1745831700000,1,-5.487084247847385,221,1,1193,221,0.7317721300318256,False
1746466200000,-1,-6.971241354204594,251,1,443,251,0.6982085544095948,False
1747035000000,1,-11.122909477037425,296,3,677,296,1.1987340396833643,False
1747146600000,1,-6.480446927374306,172,1,677,172,1.1242865246074831,False
1747599300000,-1,-12.092130518234168,337,3,668,337,1.1180138896825251,False
1747752300000,-1,-10.258023914411574,167,1,668,167,0.7839841305844746,False
1748287800000,-1,6.841432225063948,747,7,982,747,0.6801403883192046,True
1748425500000,-1,7.403876707975843,594,5,982,594,0.5480807796870645,True
1748538900000,-1,5.343511450381689,468,3,982,468,0.7648844912316854,True
1748859300000,-1,-8.812546676624343,112,1,982,112,0.6482610932208142,False
1749246300000,-1,-10.536858974358964,374,5,527,374,0.6959468900714916,False
1749360600000,-1,-6.29936428433826,247,3,527,247,0.42086895317593576,False
1749434400000,-1,-6.813782423538517,165,1,527,165,0.523511508537816,False
1749658500000,1,-10.3877623621487,75,1,159,75,1.3531970037376462,False
1749930300000,-1,11.201764057331864,872,3,1099,872,0.6303653957252348,True
1750118400000,-1,7.21198156682028,663,1,1099,663,1.4648930139010126,True
1751123700000,1,3.490611458834869,589,3,1043,589,0.2966818388807235,True
1751445000000,1,-1.035911602209949,232,1,1043,232,0.6500735518797839,False
1751906700000,-1,-8.904933814681115,210,1,491,210,0.7441271412300645,False
1752380100000,1,10.771018984889569,1022,5,1338,1022,0.8920834341314368,True
1752602400000,1,5.595567867036011,775,3,1338,775,0.9706678066962989,True
1752951600000,1,-8.409418548774628,387,1,1338,387,1.8871676641039912,False
1753820100000,-1,3.266787658802184,834,7,908,834,1.081925314056989,True
1753970400000,-1,1.2231282431430568,667,5,908,667,0.8079974125501512,True
1754379000000,-1,-6.920762286860582,213,3,908,213,0.6136411014238852,False
1754420400000,-1,-7.9602997771926365,167,1,908,167,0.8213294224480598,False
1754878500000,1,-7.672001319914202,363,3,705,363,0.7114801227049526,False
1755013500000,1,-4.6353101567825465,213,1,705,213,1.0582265163323505,False
1755274500000,-1,-9.25757850789617,189,1,266,189,1.2550303764021327,False
1755776700000,-1,-10.372144436256448,123,1,429,123,0.46409796744404286,False
1756061100000,1,-9.50413223140496,61,1,254,61,0.8732165441846549,False
1756457100000,-1,0.0575926281436101,748,7,1127,748,0.8097943606429061,True
1756653300000,-1,-1.1462988148435826,530,5,1127,530,0.4786149378160445,False
1756760400000,-1,-5.963769590881318,411,3,1127,411,0.7979868651884541,False
1756962900000,-1,-3.068699267471775,186,1,1127,186,0.5259996269132373,False
1757217600000,1,47.2099712368169,1394,7,1491,1394,0.3465966600582976,True
1757302200000,1,46.00608596424496,1300,5,1491,1300,0.5867392089841706,True
1757523600000,1,38.62405200433372,1054,3,1491,1054,0.6181786627620542,True
1757993400000,1,16.353440436495916,532,1,1491,532,0.9192500434381792,True
1758835800000,-1,-8.589835361488895,173,1,577,173,1.3917586459836,False
1759644900000,1,-8.245682378911834,243,3,392,243,0.7048583498950955,False
1759780800000,1,-7.754569190600524,92,1,392,92,0.5732343614782153,False
1759978800000,-1,13.091118800461366,453,1,581,453,0.7585451976471288,True
1760496300000,1,-10.977469083516866,68,1,190,68,1.2271004405219612,False
1760643000000,-1,-6.43011174279553,361,1,456,361,1.765470542446624,False
1761093900000,-1,-5.3060413354531155,336,1,398,336,1.04627536168851,False
1761744600000,1,-2.202145680406553,73,0,460,73,0.690461723348435,False
1761818400000,-1,-3.1428010214103352,296,1,305,296,0.8261557746788081,False
1762656300000,-1,-12.563543936092959,166,1,723,166,0.9840640014921683,False
1763407800000,-1,14.97088993623511,1441,13,1911,1441,1.5076199095581424,True
1763531100000,-1,15.439757375241259,1304,11,1911,1304,0.7694389862588376,True
1763659800000,-1,12.120343839541547,1161,9,1911,1161,1.7299708985348852,True
1763977500000,-1,-1.0543657331136602,808,7,1911,808,0.771212062925332,False
1764056700000,-1,2.293724115960505,720,5,1911,720,0.7335706911424504,True
1764290700000,-1,2.9123140234251443,460,3,1911,460,0.5130911810605778,True
1764438300000,-1,0.16276041666666297,296,1,1911,296,0.5800922389032876,True
1765105200000,-1,-7.9805690492713355,218,3,388,218,0.49032705793391185,False
1765245600000,-1,-8.697170799860277,62,1,388,62,0.4937252113377576,False
1765397700000,1,-9.20666013712047,26,0,133,26,1.4573204389620742,False
1765424700000,-1,13.316400580551523,1354,11,1358,1354,0.8465649338983081,True
1765555200000,-1,9.576078728236181,1209,9,1358,1209,1.1973198827383857,True
1765712700000,-1,11.910029498525077,1034,7,1358,1034,0.5962406882367178,True
1766092500000,-1,-8.197463768115941,612,5,1358,612,1.2434640003474449,False
1766283300000,-1,-6.6994193836534155,400,3,1358,400,0.4878192425209503,False
1766467800000,-1,-6.842576028622549,195,1,1358,195,0.5233511564512703,False
1766879100000,1,-6.237006237006226,190,3,452,190,0.6138551709381754,False
1766981700000,1,-7.619827939369117,76,1,452,76,0.6727793390876837,False
1767170700000,-1,-4.632516703786194,128,1,262,128,0.3847357338696506,False
1767635100000,1,-4.728299223712051,370,1,758,370,1.0467796987816584,False
1768091400000,-1,-6.205607476635522,263,3,400,263,0.49286828556865697,False
1768176000000,-1,-6.324850299401197,169,1,400,169,0.7295394863838459,False
1768910400000,-1,36.395759717314476,2210,17,2349,2210,0.725989142695513,True
1769094000000,-1,33.877551020408156,2006,15,2349,2006,0.8820766338863661,True
1769318100000,-1,34.54545454545455,1757,13,2349,1757,0.47169530250339786,True
1769502600000,-1,30.23255813953488,1552,11,2349,1552,0.4326805973775748,True
1769654700000,-1,28.44522968197879,1383,9,2349,1383,0.8422475337324224,True
1770140700000,-1,8.111174134997167,843,7,2349,843,1.1006976500305905,True
1770462900000,-1,-2.1437578814628155,485,5,2349,485,0.6802657950746958,False
1770535800000,-1,-1.7587939698492372,404,3,2349,404,0.46353481393763796,False
1770707700000,-1,-5.4001301236174415,213,1,2349,213,0.6555812312672681,False
1771284600000,1,-4.868035190615839,211,3,639,211,0.6562761337907945,False
1771400700000,1,-6.242774566473974,82,1,639,82,0.7099643795473524,False
1771877700000,-1,-7.802340702210664,153,1,267,153,0.7659607481068132,False
1772172900000,1,-9.929906542056067,99,1,274,99,0.6030517232217303,False
1772385300000,-1,-1.1249999999999982,860,5,997,860,0.8607762290092906,False
1772514900000,-1,-0.4345127250155123,716,3,997,716,0.6128151243018107,False
1772810100000,-1,-4.521963824289399,388,1,997,388,1.1386314698255815,False
1773552600000,1,2.5261860751694343,381,1,818,381,0.5032581335172948,True
1774131300000,-1,12.975670617592005,1494,13,1756,1494,0.36475305603666697,True
1774207800000,-1,11.089866156787764,1409,11,1756,1409,0.5645194672297551,True
1774359000000,-1,8.823529411764696,1241,9,1756,1241,0.5733060663616018,True
1774661400000,-1,1.8987341772151778,905,7,1756,905,0.6469831238879143,True
