symbol,state,tEntry
LINKUSDT,0,2022-11-20T11:30
LINKUSDT,2,2023-01-04T03:00
LINKUSDT,2,2023-01-11T23:45
LINKUSDT,0,2023-02-09T08:00
LINKUSDT,0,2023-02-12T22:00
LINKUSDT,0,2023-03-21T12:45
LINKUSDT,2,2023-04-08T18:45
LINKUSDT,0,2023-06-23T06:00
LINKUSDT,2,2023-07-06T13:30
LINKUSDT,2,2023-09-22T19:00
LINKUSDT,0,2023-10-25T00:45
LINKUSDT,0,2023-11-01T20:30
LINKUSDT,0,2023-12-23T13:00
LINKUSDT,2,2024-01-10T10:15
LINKUSDT,2,2024-02-26T15:45
LINKUSDT,0,2024-03-15T03:15
LINKUSDT,0,2024-04-01T05:45
LINKUSDT,2,2024-04-12T13:30
LINKUSDT,2,2024-04-19T02:00
LINKUSDT,1,2024-05-10T15:00
LINKUSDT,0,2024-06-07T18:00
LINKUSDT,1,2024-08-29T18:30
LINKUSDT,1,2024-09-03T14:15
LINKUSDT,0,2024-11-21T13:00
LINKUSDT,2,2024-11-24T22:30
LINKUSDT,0,2025-01-19T14:45
LINKUSDT,1,2025-04-04T11:30
LINKUSDT,0,2025-04-08T17:15
LINKUSDT,0,2025-05-18T19:30
LINKUSDT,2,2025-07-08T12:45
LINKUSDT,2,2025-07-31T14:00
LINKUSDT,2,2025-09-01T00:00
LINKUSDT,1,2025-10-01T09:00
LINKUSDT,2,2025-10-09T08:15
LINKUSDT,2,2025-10-10T16:15
LINKUSDT,0,2025-10-30T12:15
LINKUSDT,0,2025-11-03T03:00
LINKUSDT,1,2025-11-12T16:15
LINKUSDT,0,2025-11-13T16:45
LINKUSDT,0,2025-11-19T05:30
LINKUSDT,0,2025-11-20T16:30
LINKUSDT,0,2025-12-01T00:15
LINKUSDT,2,2025-12-07T14:30
LINKUSDT,0,2025-12-12T16:30
LINKUSDT,0,2025-12-25T23:30
LINKUSDT,0,2026-01-18T23:45
LINKUSDT,0,2026-03-02T15:30
LINKUSDT,0,2026-03-04T08:45
LINKUSDT,1,2026-03-14T23:45
LINKUSDT,1,2026-06-14T21:45
LINKUSDT,0,2026-06-25T13:45
SUIUSDT,2,2023-05-21T15:30
SUIUSDT,0,2023-07-13T15:45
SUIUSDT,1,2023-09-03T08:45
SUIUSDT,2,2023-11-10T20:45
SUIUSDT,2,2023-12-07T16:45
SUIUSDT,2,2023-12-23T00:00
SUIUSDT,2,2024-01-18T13:00
SUIUSDT,2,2024-02-20T01:15
SUIUSDT,2,2024-03-05T19:45
SUIUSDT,0,2024-04-02T05:15
SUIUSDT,2,2024-05-13T02:30
SUIUSDT,1,2024-06-10T04:15
